﻿estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
PA,REDENÇÃO,MEDICINA,FACULDADE INTEGRADA CARAJÁS (14901),4,"TIPOS DE CONCORRÊNCIA Ampla",709.38,686.72,563.80
PA,SANTARÉM,MEDICINA,CENTRO UNIVERSITÁRIO DA AMAZÔNIA (757),5,"TIPOS DE CONCORRÊNCIA Ampla",703.10,578.62,576.98
PA,SANTARÉM,MEDICINA,FACULDADE SANTA TERESA DE SANTARÉM (26835),5,,,596.58,676.42
PB,CAMPINA GRANDE,MEDICINA,CENTRO UNIVERSITÁRIO FACISA (1334),5,"TIPOS DE CONCORRÊNCIA Ampla",767.22,474.44,669.72
PB,CAMPINA GRANDE,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CAMPINA GRANDE (3879),5,,,521.52,
PB,JOÃO PESSOA,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DA PARAÍBA (2082),4,"TIPOS DE CONCORRÊNCIA Ampla",729.12,664.16,616.92
PB,JOÃO PESSOA,MEDICINA,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (352),5,"TIPOS DE CONCORRÊNCIA Ampla",759.82,704.68,667.68
PB,JOÃO PESSOA,MEDICINA,FACULDADE DE MEDICINA NOVA ESPERANÇA (1995),5,"TIPOS DE CONCORRÊNCIA Ampla",753.96,659.34,725.26
PB,PATOS,MEDICINA,CENTRO UNIVERSITÁRIO DE PATOS (3304),4,"TIPOS DE CONCORRÊNCIA Ampla",767.88,715.12,
PR,ARAPONGAS,MEDICINA,FACULDADE HONPAR (22267),4,"TIPOS DE CONCORRÊNCIA Ampla",684.02,621.82,582.40
PR,CAMPO MOURÃO,MEDICINA,CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO (1078),4,"TIPOS DE CONCORRÊNCIA Ampla",668.36,639.16,616.30
PR,CASCAVEL,MEDICINA,CENTRO UNIVERSITÁRIO ASSIS GURGACZ (1336),5,"TIPOS DE CONCORRÊNCIA Ampla",698.38,659.38,641.26
PR,CASCAVEL,MEDICINA,CENTRO UNIVERSITÁRIO UNIVEL (918),5,"TIPOS DE CONCORRÊNCIA Ampla",706.78,663.98,632.66
PR,CURITIBA,MEDICINA,UNIVERSIDADE POSITIVO (1042),5,"TIPOS DE CONCORRÊNCIA Ampla",753.52,615.22,481.88
PR,GUARAPUAVA,MEDICINA,CENTRO UNIVERSITÁRIO CAMPO REAL (5511),4,"TIPOS DE CONCORRÊNCIA Ampla",673.14,596.90,
PR,GUARAPUAVA,MEDICINA,CENTRO UNIVERSITÁRIO GUAIRACÁ (3797),4,"TIPOS DE CONCORRÊNCIA Ampla",716.44,,642.00
PR,MARINGÁ,MEDICINA,CENTRO UNIVERSITÁRIO INGÁ (1430),4,"TIPOS DE CONCORRÊNCIA Ampla",710.00,565.56,
PR,MARINGÁ,MEDICINA,UNIVERSIDADE CESUMAR (1196),5,"TIPOS DE CONCORRÊNCIA Ampla",684.64,615.02,569.68
PR,PINHAIS,MEDICINA,CENTRO UNIVERSITÁRIO DE PINHAIS (1535),4,"TIPOS DE CONCORRÊNCIA Ampla",672.98,620.70,624.66
PR,TELÊMACO BORBA,MEDICINA,CENTRO UNIVERSITÁRIO UNIFATEB (1536),5,"TIPOS DE CONCORRÊNCIA Ampla",638.08,570.30,550.64
PR,UMUARAMA,MEDICINA,UNIVERSIDADE PARANAENSE (437),5,"TIPOS DE CONCORRÊNCIA Ampla",697.88,623.20,615.56
PE,ARARIPINA,MEDICINA,FACULDADE PARAÍSO ARARIPINA (24457),5,"TIPOS DE CONCORRÊNCIA Ampla",754.16,664.38,677.22
PE,CARUARU,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CARUARU (14717),5,"TIPOS DE CONCORRÊNCIA Ampla",748.28,723.38,683.12
PE,CARUARU,MEDICINA,CENTRO UNIVERSITÁRIO TABOSA DE ALMEIDA (2409),4,"TIPOS DE CONCORRÊNCIA Ampla",746.52,725.56,664.64
PE,GARANHUNS,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE GARANHUNS (5580),0,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",742.60,721.90,688.48
PE,GARANHUNS,MEDICINA,FACULDADES INTEGRADAS DE GARANHUNS (701),0,"TIPOS DE CONCORRÊNCIA Ampla",783.80,674.70,
PE,GOIANA,MEDICINA,FACULDADE TIRADENTES DE GOIANA (24459),0,"TIPOS DE CONCORRÊNCIA Ampla",731.40,674.98,655.24
PE,OLINDA,MEDICINA,FACULDADE DE MEDICINA DE OLINDA (16879),4,"TIPOS DE CONCORRÊNCIA Ampla",547.00,659.84,656.76
PE,PETROLINA,MEDICINA,FACULDADE DE PETROLINA (692),0,"TIPOS DE CONCORRÊNCIA Ampla",783.64,682.28,650.84
